City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Dwarka,IN,80.96,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
124,Padang,ID,77.92,broken clouds,-0.9492,100.3543,Mercure Padang
125,Singkawang,ID,78.76,broken clouds,0.9,109.0,Capital O 1822 Wahana Inn
128,Kavieng,PG,80.06,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
129,Kalmunai,LK,81.91,broken clouds,7.4167,81.8167,VS Villa
133,Tura,IN,75.52,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
138,Meulaboh,ID,78.46,overcast clouds,4.1363,96.1285,Kost Pria
139,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
141,Gorgan,IR,84.16,clear sky,36.8387,54.4348,Khayyam Motel
142,Hangu,CN,77.04,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
144,Kieta,PG,77.76,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
145,Hami,CN,85.57,clear sky,42.8,93.45,Laoyutang Resort
147,Itaituba,BR,93.36,few clouds,-4.2761,-55.9836,Hotel Campos
148,Sao Tome,ST,75.13,broken clouds,0.3365,6.7273,Pestana Miramar São Tomé
149,Dawlatabad,AF,88.36,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
150,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
151,Santa Cruz,BO,87.85,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
152,Saint George,US,80.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
155,Mogadishu,SO,76.3,overcast clouds,2.0371,45.3438,Hotel Juba
156,Biltine,TD,76.66,heavy intensity rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
157,Utica,US,80.69,broken clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
159,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
160,Savelugu,GH,78.31,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
161,Daru,PG,76.59,overcast clouds,-9.0763,143.2092,Daru Lodge
164,Hilo,US,77.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
165,Tallahassee,US,89.85,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
166,Dhidhdhoo,MV,81.39,broken clouds,6.8833,73.1,Dhidhoo beach
169,Samarai,PG,79.03,few clouds,-10.6167,150.6667,Nuli Sapi
170,Hobyo,SO,77.36,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
175,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
176,Bengkulu,ID,76.73,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
179,Maragogi,BR,78.98,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
180,Sena Madureira,BR,94.75,overcast clouds,-9.0656,-68.6569,Hotel Central
182,Hithadhoo,MV,83.43,few clouds,-0.6,73.0833,Scoop Guest House
185,Faanui,PF,78.49,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
188,Carnarvon,AU,75.27,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
189,Bethel,US,83.55,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
191,Shenzhen,CN,87.22,overcast clouds,22.5455,114.0683,Grand Skylight
193,Biaora,IN,76.51,moderate rain,23.8667,76.9167,SARPANCH MOTEL HOTEL
195,Kingsport,US,80.76,overcast clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
198,Torbay,CA,76.87,broken clouds,47.6666,-52.7314,Gallows Cove
202,Arraial Do Cabo,BR,80.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
204,Caravelas,BR,78.42,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
205,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
208,Filadelfia,US,83.82,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
209,Elizabeth City,US,80.6,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
210,Butaritari,KI,81.66,broken clouds,3.0707,172.7902,Isles Sunset Lodge
211,Jaguaruna,BR,77.58,broken clouds,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
212,Shelburne,CA,78.91,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
213,Worland,US,75.67,clear sky,44.0169,-107.9554,Town House Motor Inn
216,Akyab,MM,81.88,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
217,Cururupu,BR,88.7,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
221,Kennett,US,83.25,scattered clouds,36.2362,-90.0556,Americas Best Value Inn Kennett
222,Korla,CN,88.63,overcast clouds,41.7597,86.1469,Gulisitan Hotel
224,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
227,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
236,Honiara,SB,76.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
238,Isla Vista,US,90.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
240,Letpadan,MM,77.47,overcast clouds,17.7833,95.75,AUNG MYO KYAW
242,Pietrari,RO,76.06,light rain,45.1,24.1333,Hotel Palace Baile Govora
243,Galle,LK,79.16,broken clouds,6.0367,80.217,Amangalla
245,Luwuk,ID,76.21,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
246,Wahpeton,US,75.92,clear sky,46.2652,-96.6059,Select Inn Breckenridge
250,Lubu,CN,80.82,broken clouds,23.1742,112.2809,Classic View Hotel
252,Sinnamary,GF,84.15,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
254,Rabo De Peixe,PT,78.31,few clouds,37.8,-25.5833,Quinta das Giestas
255,Bubaque,GW,80.94,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
256,Tomatlan,MX,83.77,overcast clouds,19.9333,-105.25,El Salvial
258,Havelock,US,82.94,overcast clouds,34.8791,-76.9013,Sherwood Motel
260,Tougan,BF,89.83,overcast clouds,13.0667,-3.0667,Hôtel SMAK
261,Banswara,IN,77.45,heavy intensity rain,23.55,74.45,Hotel Relax Inn
263,Itarema,BR,89.58,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Houma,US,90.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
269,Cabo San Lucas,MX,90.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
270,Nicoya,CR,83.25,few clouds,10.1483,-85.452,Las Cabinas Del Sueño
271,Pucallpa,PE,93.15,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
273,Mubarakpur,IN,84.29,scattered clouds,26.09,83.2922,BABU FRY WALE
274,Bani,DO,89.85,clear sky,18.2833,-70.3333,Hospedaje Henriquez
282,Santa Isabel Do Rio Negro,BR,92.66,clear sky,-0.4139,-65.0192,Hotel GSA
283,Lander,US,75.79,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
285,Biograd Na Moru,HR,83.1,few clouds,43.9433,15.4519,Villa Maimare
287,Les Cayes,HT,88.07,clear sky,18.2,-73.75,Villa Orphee
289,Catamarca,AR,75.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
293,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
295,Calamar,CO,85.73,broken clouds,10.2511,-74.9146,Hostal Katyalex
297,Guerrero Negro,MX,76.71,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
299,Pogar,RU,76.28,overcast clouds,52.554,33.2591,"Gostinitsa ""U Gamleta"""
303,Hambantota,LK,79.54,broken clouds,6.1241,81.1185,Bungalow 63
304,Kongolo,CD,87.12,overcast clouds,-5.3833,27.0,GUEST HOUSE OASIS
307,Ahuimanu,US,76.86,broken clouds,21.4447,-157.8378,Paradise Bay Resort
308,Acarau,BR,88.92,clear sky,-2.8856,-40.12,castelo pizzaria
309,Lagunas,PE,88.83,broken clouds,-5.2269,-75.6753,Hospedaje Eco
311,Newport,GB,80.11,overcast clouds,51.5877,-2.9984,ibis budget Newport
314,Laem Sing,TH,83.14,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
315,Lorengau,PG,79.25,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
316,Tautira,PF,77.83,broken clouds,-17.7333,-149.15,Pension Oaoa
318,Sabang,ID,83.44,few clouds,5.8933,95.3214,Hotel Citra
325,Puerto Carreno,CO,84.18,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
328,Turbat,PK,84.72,overcast clouds,26.0023,63.044,Mubashar Quarters
330,Baneh,IR,80.96,clear sky,35.9975,45.8853,ساختمان زیتون
332,Numbrecht,DE,78.17,broken clouds,50.9,7.55,Hotel Derichsweiler Hof
333,Porto De Moz,BR,93.4,clear sky,-1.7483,-52.2383,Dormitório labelle
337,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
340,Pinawa,CA,78.08,clear sky,50.1489,-95.8811,Pinawa Motel
341,Mongagua,BR,89.22,clear sky,-24.0931,-46.6208,Hostel Aloha Brasil
345,Dossor,KZ,90.99,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
347,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
352,Malanje,AO,88.16,broken clouds,-9.5402,16.341,Hotel Ginga
